from,to,legal_start
RQN,RYJ,2007-10-01
RJ5,RYJ,2007-10-01
RR1,RRK,2018-04-02
RD325,R0D12,2020-10-01
RLNCL,R0B08,2019-04-01
TAM,5QW,2011-04-15
TAM04,5QW04,2011-04-15
TAM06,5QW06,2011-04-15
TAM07,5QW07,2011-04-15
TAM08,5QW08,2011-04-15
TAM09,5QW09,2011-04-15
TAM10,5QW10,2011-04-15
TAM11,5QW11,2011-04-15
TAM12,5QW12,2011-04-15
TAM13,5QW13,2011-04-15
TAM14,5QW14,2011-04-15
TAM15,5QW15,2011-04-15
TAM16,5QW16,2011-04-15
TAM17,5QW17,2011-04-15
TAM18,5QW18,2011-04-15
TAM19,5QW19,2011-04-15
TAM20,5QW20,2011-04-15
TAM21,5QW21,2011-04-15
V062,296,2013-04-01
V167,311,2013-04-01
V169,313,2013-04-01
V214,140,2013-04-01
8A872,DL0,2018-04-01
TAM22,5QW22,2011-04-15
TAM23,5QW23,2011-04-15
TAM24,5QW24,2011-04-15
TAM25,5QW25,2011-04-15
TAM26,5QW26,2011-04-15
TAM27,5QW27,2011-04-15
TAM28,5QW28,2011-04-15
TAM29,5QW29,2011-04-15
TAM30,5QW30,2011-04-15
TAM31,5QW31,2011-04-15
TAM32,5QW32,2011-04-15
TAM33,5QW33,2011-04-15
TAM34,5QW34,2011-04-15
TAM35,5QW35,2011-04-15
TAM36,5QW36,2011-04-15
TAM37,5QW37,2011-04-15
TAM38,5QW38,2011-04-15
TAM39,5QW39,2011-04-15
TAM40,5QW40,2011-04-15
TAM41,5QW41,2011-04-15
TAM42,5QW42,2011-04-15
TAM43,5QW43,2011-04-15
TAM44,5QW44,2011-04-15
TAM45,5QW45,2011-04-15
TAM46,5QW46,2011-04-15
TAM47,5QW47,2011-04-15
TAM49,5QW49,2011-04-15
TAM50,5QW50,2011-04-15
RHX,RW1,2012-11-02
TAM51,5QW51,2011-04-15
TAM52,5QW52,2011-04-15
TAM53,5QW53,2011-04-15
TAM54,5QW54,2011-04-15
TAMC1,5QWC1,2011-04-15
TAMC2,5QWC2,2011-04-15
TAMF1,5QWF1,2011-04-15
TAMHQ,5QWHQ,2011-04-15
TAML1,5QWL1,2011-04-15
TAMP1,5QWP1,2011-04-15
RLNDR,R0B07,2019-04-01
RVY,RBN,2023-07-01
RD7,RDU,2014-10-01
R1E,RRE,2018-05-31
RCC,RCB,2012-07-01
RXH01,E0A3H,2021-04-01
RXH16,Q0J5H,2021-04-01
RXH06,G0W1C,2021-04-01
RXH05,E0N1P,2021-04-01
RXH09,N6J7V,2021-04-01
8D433,APX03,2015-04-01
V372,376,2013-04-01
V374,210,2013-04-01
V384,416,2013-04-01
V385,137,2013-04-01
V386,243,2013-04-01
V389,378,2013-04-01
V390,381,2013-04-01
V227,128,2013-04-01
V002,107,2013-04-01
V145,706,2013-04-01
RXH57,A1G3F,2021-04-01
8HX49,DV3,2018-10-02
RTVJ4,S3A1N,2021-06-01
8HR61,DLA,2019-04-01
RTVM4,A5I8N,2021-06-01
RTVL6,X0T8F,2021-06-01
RTVM8,A6I1E,2021-06-01
RLN27,R0B0I,2019-04-01
RLN28,R0B0O,2019-04-01
RLN29,R0B17,2019-04-01
RLN24,R0B0F,2019-04-01
V009,616,2013-04-01
V013,619,2013-04-01
V018,613,2013-04-01
V019,294,2013-04-01
V023,173,2013-04-01
V375,211,2013-04-01
V026,624,2013-04-01
RLN14,R0B09,2019-04-01
RLN15,R0B06,2019-04-01
RWN,R1L,2017-04-01
RQ8,RAJ,2020-04-01
T1430,X26,2013-04-01
RXH41,A6V7X,2021-04-01
V195,365,2013-04-01
5P4Y8,5QV85,2010-04-01
RQ629,REMAQ,2019-10-01
RW3,R0A,2017-10-01
10J,D9Y0V,2021-04-01
RXH61,V2W0H,2021-04-01
RLN31,R0B18,2019-04-01
5P4XJ,5QV65,2010-04-01
5P4XK,5QV66,2010-04-01
5P4XL,5QV67,2010-04-01
5P4XM,5QV68,2010-04-01
5P4XN,5QV69,2010-04-01
5P4XP,5QV70,2010-04-01
5P4XQ,5QV71,2010-04-01
5P4XR,5QV72,2010-04-01
5P4XT,5QV73,2010-04-01
5P4XV,5QV74,2010-04-01
5P4XW,5QV75,2010-04-01
5P4XX,5QV76,2010-04-01
5P4XY,5QV77,2010-04-01
5P4Y1,5QV78,2010-04-01
5P4Y2,5QV79,2010-04-01
5P4Y3,5QV80,2010-04-01
5P4Y4,5QV81,2010-04-01
5P4Y5,5QV82,2010-04-01
5P4Y6,5QV83,2010-04-01
5P4Y7,5QV84,2010-04-01
5P4Y9,5QV86,2010-04-01
5P3G0,5QV93,2010-04-01
5P3G1,5QVC1,2010-04-01
5P3G2,5QV89,2010-04-01
5P3G4,5QVC1,2010-04-01
5P3G5,5QV91,2010-04-01
5P3G6,5QV92,2010-04-01
5P3G7,5QV93,2010-04-01
5P3H0,5QVA3,2010-04-01
5P3H2,5QV95,2010-04-01
5P3H3,5QV96,2010-04-01
5P3H4,5QV97,2010-04-01
5P3H5,5QV98,2010-04-01
5P3H6,5QV99,2010-04-01
5P3H7,5QVA1,2010-04-01
5P3H8,5QVA2,2010-04-01
5P3H9,5QVA3,2010-04-01
5P3HA,5QVA4,2010-04-01
5P3HC,5QVA5,2010-04-01
5P3HD,5QVA6,2010-04-01
5P3HE,5QVC8,2010-04-01
RTV65,Q1N8B,2021-06-01
V096,815,2013-04-01
V098,181,2013-04-01
V036,322,2013-04-01
V085,117,2013-04-01
V166,310,2013-04-01
V306,418,2013-04-01
V392,326,2013-04-01
V395,104,2013-04-01
V157,735,2013-04-01
V156,711,2013-04-01
RVL,RAL,2014-07-02
RXH07,X5M8P,2021-04-01
RXH19,A1R7Z,2021-04-01
V155,734,2013-04-01
V154,710,2013-04-01
V153,733,2013-04-01
V152,732,2013-04-01
V257,314,2013-04-01
V248,317,2013-04-01
V238,159,2013-04-01
V188,177,2013-04-01
V352,110,2013-04-01
V350,106,2013-04-01
V343,285,2013-04-01
V334,333,2013-04-01
V326,335,2013-04-01
V324,330,2013-04-01
V056,507,2013-04-01
V059,229,2013-04-01
V068,913,2013-04-01
V071,914,2013-04-01
V310,910,2013-04-01
V316,205,2013-04-01
V079,811,2013-04-01
V291,512,2013-04-01
V278,113,2013-04-01
V283,219,2013-04-01
V277,112,2013-04-01
V123,911,2013-04-01
RTVN1,J7Y5C,2021-06-01
RTVN3,P0A6Y,2021-06-01
RTVN9,O0T7O,2021-06-01
RTVP1,P0R8Q,2021-06-01
RTVP2,U5B9F,2021-06-01
RTVN7,B2H1B,2021-06-01
RTVP3,S0X6R,2021-06-01
05F,18C,2020-04-01
08H,93C,2020-04-01
07L,A3A8R,2021-04-01
07M,93C,2020-04-01
07N,72Q,2020-04-01
07P,W2U3Z,2021-04-01
07Q,72Q,2020-04-01
07R,93C,2020-04-01
07T,A3A8R,2021-04-01
07V,36L,2020-04-01
07W,W2U3Z,2021-04-01
07X,93C,2020-04-01
07Y,W2U3Z,2021-04-01
08A,72Q,2020-04-01
08C,W2U3Z,2021-04-01
08D,93C,2020-04-01
08E,W2U3Z,2021-04-01
08F,A3A8R,2021-04-01
08G,W2U3Z,2021-04-01
08J,36L,2020-04-01
08K,72Q,2020-04-01
08L,72Q,2020-04-01
08M,A3A8R,2021-04-01
08N,A3A8R,2021-04-01
08P,36L,2020-04-01
08Q,72Q,2020-04-01
08R,36L,2020-04-01
08T,36L,2020-04-01
08V,A3A8R,2021-04-01
08W,A3A8R,2021-04-01
08X,36L,2020-04-01
08Y,W2U3Z,2021-04-01
09A,W2U3Z,2021-04-01
03T,71E,2020-04-01
03V,78H,2020-04-01
03X,15M,2019-04-01
03Y,15M,2019-04-01
04D,71E,2020-04-01
04E,52R,2020-04-01
04F,M1J4Y,2021-04-01
04G,78H,2020-04-01
04H,52R,2020-04-01
04J,15M,2019-04-01
04K,52R,2020-04-01
04L,52R,2020-04-01
04M,52R,2020-04-01
04N,52R,2020-04-01
04Q,71E,2020-04-01
04R,15M,2019-04-01
04X,15E,2018-04-01
05A,B2M3M,2021-04-01
05C,D2P2L,2021-04-01
05H,B2M3M,2021-04-01
05J,18C,2020-04-01
05L,D2P2L,2021-04-01
05N,M2L0M,2021-04-01
05P,15E,2018-04-01
05R,B2M3M,2021-04-01
05T,18C,2020-04-01
05X,M2L0M,2021-04-01
05Y,D2P2L,2021-04-01
06A,D2P2L,2021-04-01
06D,18C,2020-04-01
06F,M1J4Y,2021-04-01
06M,26A,2020-04-01
06P,M1J4Y,2021-04-01
06V,26A,2020-04-01
06W,26A,2020-04-01
06Y,26A,2020-04-01
07J,26A,2020-04-01
99D,71E,2020-04-01
00C,16C,2020-04-01
00D,84H,2020-04-01
00F,13T,2015-04-01
00G,13T,2015-04-01
00H,13T,2015-04-01
00J,84H,2020-04-01
00K,16C,2020-04-01
00M,16C,2020-04-01
00W,14L,2017-04-01
01C,27D,2020-04-01
01M,14L,2017-04-01
01N,14L,2017-04-01
01R,27D,2020-04-01
02D,27D,2020-04-01
02F,27D,2020-04-01
02N,36J,2020-04-01
02R,36J,2020-04-01
02V,15F,2018-04-01
02W,36J,2020-04-01
03A,X2C4Y,2021-04-01
03C,15F,2018-04-01
03D,42D,2020-04-01
03E,42D,2020-04-01
03G,15F,2018-04-01
03J,X2C4Y,2021-04-01
03M,42D,2020-04-01
09C,91Q,2020-04-01
09E,91Q,2020-04-01
09F,97R,2020-04-01
09G,70F,2020-04-01
09H,70F,2020-04-01
09J,91Q,2020-04-01
09L,92A,2020-04-01
09N,92A,2020-04-01
09P,97R,2020-04-01
09W,91Q,2020-04-01
09X,70F,2020-04-01
09Y,92A,2020-04-01
10A,91Q,2020-04-01
10C,D4U1Y,2021-04-01
10D,91Q,2020-04-01
10E,91Q,2020-04-01
10G,15D,2018-04-01
10H,14Y,2018-04-01
10K,D9Y0V,2021-04-01
10L,D9Y0V,2021-04-01
10M,15A,2018-04-01
10N,15A,2018-04-01
10T,15D,2018-04-01
10V,D9Y0V,2021-04-01
10W,15A,2018-04-01
10X,D9Y0V,2021-04-01
10Y,14Y,2018-04-01
11A,D9Y0V,2021-04-01
11C,15D,2018-04-01
11D,15A,2018-04-01
11E,92G,2020-04-01
11H,15C,2018-04-01
11T,15C,2018-04-01
12A,15C,2018-04-01
12D,92G,2020-04-01
99H,92A,2020-04-01
99J,91Q,2020-04-01
99K,97R,2020-04-01
99M,D4U1Y,2021-04-01
99N,92G,2020-04-01
99P,15N,2019-04-01
99Q,15N,2019-04-01
0CE,0CY,2014-10-01
Q44,Q75,2015-04-01
Q45,Q74,2015-04-01
Q46,Q73,2015-04-01
Q47,Q73,2015-04-01
Q48,Q75,2015-04-01
Q49,Q74,2015-04-01
Q50,Q72,2015-04-01
Q51,Q72,2015-04-01
Q52,Q72,2015-04-01
Q53,Q77,2015-04-01
Q54,Q77,2015-04-01
Q55,Q76,2015-04-01
Q56,Q79,2015-04-01
Q57,Q79,2015-04-01
Q58,Q78,2015-04-01
Q59,Q78,2015-04-01
Q60,Q76,2015-04-01
Q64,Q82,2015-04-01
Q65,Q80,2015-04-01
Q66,Q80,2015-04-01
Q67,Q81,2015-04-01
Q68,Q81,2015-04-01
Q69,Q82,2015-04-01
Y54,Y62,2019-04-01
Y54,Y63,2019-04-01
Y55,Y60,2019-04-01
Y55,Y61,2019-04-01
13N,14G,2020-04-01
0AA,0DE,2015-04-01
0AC,0DF,2015-04-01
0AE,0DF,2015-04-01
0AJ,0CY,2014-10-01
0AK,0DE,2015-04-01
0AM,0DC,2014-10-01
0AQ,0DJ,2017-04-01
0AV,0DA,2014-10-01
0AW,0DF,2015-04-01
0AX,0DC,2014-10-01
04HAD,52RAG,2020-04-01
0CF,0DA,2014-10-01
RTVP8,U3C2B,2021-06-01
RLN34,R0B0L,2019-04-01
13P,15E,2018-04-01
04EAA,52RAG,2020-04-01
04LAA,52RAG,2020-04-01
04MAA,52RAG,2020-04-01
04NAA,52RAG,2020-04-01
V377,213,2013-04-01
V362,410,2013-04-01
V160,304,2013-04-01
RQ6,REM,2019-10-01
RV8,R1K,2014-10-01
RA3,RA7,2020-04-01
R1J,RTQ,2019-10-01
RDZ52,R0D04,2020-10-01
RDZ53,R0D0F,2020-10-01
RDZ54,R0D0G,2020-10-01
379,916,2020-04-01
RTVQ1,P1X4F,2021-06-01
RE961,R0B0G,2019-04-01
00FAA,13TAA,2015-04-01
00GAA,13TAA,2015-04-01
00HAA,13TAA,2015-04-01
RQ637,REMAE,2019-10-01
RQ638,REM60,2019-10-01
RQ639,REM35,2019-10-01
RQ641,REM62,2019-10-01
02NAC,36JAD,2020-04-01
115,H6X4G,2023-04-01
122,916,2020-04-01
124,W8X1Q,2023-04-01
146,H6X4G,2023-04-01
156,916,2020-04-01
158,738,2019-04-01
162,H6X4G,2023-04-01
163,Z9D4Z,2021-04-01
165,218,2023-04-01
169,U6Q5Z,2021-04-01
175,809,2019-04-01
179,Z9D4Z,2021-04-01
183,W8X1Q,2023-04-01
192,741,2019-04-01
221,218,2023-04-01
224,218,2023-04-01
236,Z9D4Z,2021-04-01
246,905,2023-04-01
259,809,2019-04-01
266,U6Q5Z,2021-04-01
275,809,2019-04-01
280,218,2023-04-01
288,218,2023-04-01
289,218,2023-04-01
290,905,2023-04-01
291,218,2023-04-01
294,916,2020-04-01
303,W8X1Q,2023-04-01
382,U6Q5Z,2021-04-01
329,905,2023-04-01
333,741,2019-04-01
339,740,2019-04-01
345,739,2019-04-01
RTVQ2,U5N9B,2021-06-01
RXH62,H9S1B,2021-04-01
02FAA,27DAC,2020-04-01
RXH63,O4F7H,2021-04-01
RTVP9,M4F3K,2021-06-01
361,740,2019-04-01
364,Z9D4Z,2021-04-01
367,809,2019-04-01
371,739,2019-04-01
372,809,2019-04-01
8J632,DRL,2018-04-01
RQ613,REMAT,2019-10-01
RTVQ3,Y4K8J,2021-06-01
RXH67,X5K5M,2021-04-01
RXH68,A3J9W,2021-04-01
RTV1K,M8G6S,2021-06-01
RTV1M,F8E6S,2021-06-01
RTV1P,X9E6A,2021-06-01
00GAC,13TAC,2015-04-01
RXH66,D5V3Y,2021-04-01
0CY,YDDTR,2016-04-01
0DC,0DJ,2017-04-01
RTVQ4,F2B7X,2021-06-01
RTVR8,F3F0T,2021-06-01
RTVV1,H2F7O,2021-06-01
RTVV3,O5R1R,2021-06-01
RTVV4,F4Y4H,2021-06-01
RTVV8,J5R9G,2021-06-01
RTVW1,Z3F3M,2021-06-01
RTVW6,F8Q4Z,2021-06-01
RTVX2,Y4Y5K,2021-06-01
RTVX6,Z0F9G,2021-06-01
RTVY3,J4P0Z,2021-06-01
RTVY5,B0W9J,2021-06-01
RTV0A,Y8Z1Y,2021-06-01
RTV0D,Y6S5W,2021-06-01
RTV0H,J0E6R,2021-06-01
RTV0K,N7S3Y,2021-06-01
RTV0N,L9C1K,2021-06-01
RTV0Q,V5G6U,2021-06-01
RTV0V,C9M3M,2021-06-01
RTV0Y,Y8Y7B,2021-06-01
RTVV5,N4Y4U,2021-06-01
RTVX5,U1C1W,2021-06-01
RTV1C,F2W7S,2021-06-01
RTV1E,T4Y3B,2021-06-01
RTV1F,S2J5U,2021-06-01
00FAC,13TAD,2015-04-01
00FAD,13TAE,2015-04-01
00FAE,13TAF,2015-04-01
00FAF,13TAG,2015-04-01
00FAG,13TAH,2015-04-01
00FAH,13TAJ,2015-04-01
00FAJ,13TAK,2015-04-01
00FAK,13TAL,2015-04-01
00FAL,13TAM,2015-04-01
00FAM,13TAN,2015-04-01
00FAN,13TAP,2015-04-01
00FAP,13TAQ,2015-04-01
00FAQ,13TAR,2015-04-01
00FAR,13TAT,2015-04-01
00FAT,13TAV,2015-04-01
00FAV,13TAW,2015-04-01
00FAW,13TAX,2015-04-01
V05883,V46876,2014-08-20
V06704,V80445,2015-04-01
V01679,V81550,2015-04-01
V01679,V81854,2015-04-01
V01679,V81871,2015-04-01
V02337,V81636,2015-04-01
V05007,V82663,2019-04-01
V05007,V82664,2019-04-01
V07644,V80922,2015-04-01
V07738,V81119,2015-04-01
V12202,V81303,2015-04-01
RD313,R0D07,2020-10-01
00GAD,13TAY,2015-04-01
00GAE,13TCA,2015-04-01
00GAF,13TCC,2015-04-01
00GAG,13TCD,2015-04-01
00GAH,13TCE,2015-04-01
13V,85J,2020-04-01
13W,14J,2016-04-01
13W,14K,2016-04-01
13W,27T,2020-04-01
13X,85J,2020-04-01
13Y,27T,2020-04-01
14C,14A,2020-04-01
14D,14A,2020-04-01
14H,14G,2020-04-01
04LAE,52RAE,2020-04-01
04MAE,52RAD,2020-04-01
RXH69,G6O4E,2021-04-01
RXH71,Y9Z9N,2021-04-01
8JC02,DV7,2019-07-30
RTV2A,G6A5P,2021-06-01
8JD01,AD7,2019-12-01
RXH72,W2L8V,2021-04-01
8JD24,DH8,2017-04-01
RXH73,Z9C2L,2021-04-01
RXH70,J1Y5Y,2021-04-01
RTV1W,A4V8I,2021-06-01
RTV1X,P8N0C,2021-06-01
RD324,R0D0I,2020-10-01
8WG77,AJE03,2018-06-26
RXH74,I2V6W,2021-04-01
14J,27T,2020-04-01
14K,27T,2020-04-01
RXH75,Q4Q6G,2021-04-01
RXH76,H8M1L,2021-04-01
RXH77,B8P8E,2021-04-01
RTV2G,H0Q7E,2021-06-01
RTV2H,Z8X1C,2021-06-01
01RAC,27DAA,2020-04-01
02DAA,27DAA,2020-04-01
01CAC,27DAD,2020-04-01
RXH78,C8K0Z,2021-04-01
05FAA,18CAE,2020-04-01
RD3JH,R0D04,2020-10-01
05JAE,18CAD,2020-04-01
8JK45,DGE,2017-04-01
8JK46,DGC,2017-04-01
8JK48,DGA,2019-05-28
RQ644,REMAW,2019-10-01
RQ651,REMAA,2019-10-01
RQ652,REMAN,2019-10-01
RQ653,REM23,2019-10-01
RQ645,REM21,2019-10-01
RQ648,REMAJ,2019-10-01
RQ649,REMAC,2019-10-01
RQ650,REMAD,2019-10-01
15D,D4U1Y,2021-04-01
RQ646,REMBA,2019-10-01
RQ647,REMAZ,2019-10-01
RLN43,R0B14,2019-04-01
RXH79,C1D8Z,2021-04-01
RXH80,E3X8I,2021-04-01
RQ654,REMAU,2019-10-01
RQ655,REMBE,2019-10-01
15G,14F,2020-04-01
15H,14F,2020-04-01
15J,14G,2020-04-01
15K,14G,2020-04-01
RXH81,B3D7D,2021-04-01
V44614,V80929,2015-04-01
QVP,QHM,2018-04-01
QT8,QHM,2018-04-01
QMK,QHM,2018-04-01
RLNDC,R0B0B,2019-04-01
14N,76A,2020-04-01
14P,76A,2020-04-01
14V,97T,2020-04-01
14W,97T,2020-04-01
14X,32T,2020-04-01
RQ657,REMAS,2019-10-01
DL5,8JN89,2017-10-01
02RDG,36JAC,2020-04-01
02RDF,36JAA,2020-04-01
05TAH,18CAC,2020-04-01
8K421,U7R1J,2023-08-18
RLN44,R0B0C,2019-04-01
RQ658,REMBM,2019-10-01
RLN45,R0B11,2019-04-01
8KA45,X8S6J,2021-04-01
739,905,2023-04-01
05TAC,18CAF,2020-04-01
05TAD,18CAG,2020-04-01
RTV2P,R6H8K,2021-06-01
8JL30,DTK,2018-10-01
8KH14,GDG,2020-07-16
RQ659,REMAY,2019-10-01
RQ660,REMAM,2019-10-01
04NAD,52RAF,2020-04-01
U50320,U58127,2020-01-01
U50320,U29575,2020-01-01
U19037,U93165,2021-04-01
U27032,U93165,2021-04-01
U50130,U23544,2022-04-01
U65725,U79397,2022-04-01
U65725,U76753,2022-04-01
U12587,U11559,2020-04-01
U32212,U33065,2020-04-01
U94471,U33065,2020-04-01
U88724,U11559,2020-04-01
U36887,U35513,2020-04-01
U94399,U08229,2020-07-01
U76226,U42142,2020-04-01
U76226,U03379,2020-04-01
U40253,U28266,2020-04-01
U40253,U72457,2020-04-01
U40253,U40386,2020-04-01
U57426,U37339,2020-04-01
U08744,U37339,2020-04-01
U07199,U29677,2021-04-01
U54308,U29677,2021-04-01
